Miserables, Les (1995)||
Things to Do in Denver when You're Dead (1995)||
Vampire in Brooklyn (1995)||http://ia.media-imdb.com/images/M/MV5BMTI1MTQ3NzE0MV5BMl5BanBnXkFtZTcwNDAwNzIyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg
Broken Arrow (1996)||http://ia.media-imdb.com/images/M/MV5BMTY1NTQzMDQwMF5BMl5BanBnXkFtZTYwOTQ1OTk4._V1_UY268_CR3,0,182,268_AL_.jpg
Young Poisoner's Handbook, The (1995)||
NeverEnding Story III, The (1994)||
Rob Roy (1995)||http://ia.media-imdb.com/images/M/MV5BMjE2NTU2ODI0MV5BMl5BanBnXkFtZTcwNTIwODU2NA@@._V1_UX182_CR0,0,182,268_AL_.jpg
Die Hard: With a Vengeance (1995)||http://ia.media-imdb.com/images/M/MV5BOTgyNDM4Mjg0OF5BMl5BanBnXkFtZTcwMjQxNTEzMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg
Lord of Illusions (1995)||http://ia.media-imdb.com/images/M/MV5BNDg1OTc0MDQwNl5BMl5BanBnXkFtZTcwMjQ3NDk0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg
Species (1995)||http://ia.media-imdb.com/images/M/MV5BMjMyNTE0ODUzOF5BMl5BanBnXkFtZTcwNjY5NTk1NA@@._V1_UX182_CR0,0,182,268_AL_.jpg
Walk in the Clouds, A (1995)||
Waterworld (1995)||http://ia.media-imdb.com/images/M/MV5BMTA2Nzk3MTgzMTVeQTJeQWpwZ15BbWU3MDgyNTgxNjk@._V1_UY268_CR9,0,182,268_AL_.jpg
White Man's Burden (1995)||http://ia.media-imdb.com/images/M/MV5BMTI2ODY1ODcwMl5BMl5BanBnXkFtZTcwNzYzNzUxMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg
Wild Bill (1995)||http://ia.media-imdb.com/images/M/MV5BMjI0MjI4NDkyOF5BMl5BanBnXkFtZTcwNzQ0NTg3NA@@._V1_UX182_CR0,0,182,268_AL_.jpg
Farinelli: il castrato (1994)||
Heavenly Creatures (1994)||http://ia.media-imdb.com/images/M/MV5BMTQ2NzUzMDUzMV5BMl5BanBnXkFtZTgwMzI0NzkxMjE@._V1_UX182_CR0,0,182,268_AL_.jpg
Interview with the Vampire (1994)||
Kid in King Arthur's Court, A (1995)||
Mary Shelley's Frankenstein (1994)||http://ia.media-imdb.com/images/M/MV5BMTc1MzQ5NTA3MV5BMl5BanBnXkFtZTcwMDUzNDIyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg
Quick and the Dead, The (1995)||
Stephen King's The Langoliers (1995)||
Tales from the Hood (1995)||http://ia.media-imdb.com/images/M/MV5BMTk2NzE4NDA2MV5BMl5BanBnXkFtZTYwMzc4OTE5._V1_UX182_CR0,0,182,268_AL_.jpg
Village of the Damned (1995)||http://ia.media-imdb.com/images/M/MV5BMTY4ODY4NDczNV5BMl5BanBnXkFtZTcwNDY1NzMyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg
Clear and Present Danger (1994)||http://ia.media-imdb.com/images/M/MV5BMTUxOTk4NzUyOF5BMl5BanBnXkFtZTgwNzc3ODYxMTE@._V1_UX182_CR0,0,182,268_AL_.jpg
Wes Craven's New Nightmare (1994)||
Speed (1994)||
Wolf (1994)||http://ia.media-imdb.com/images/M/MV5BMjIwMTgwNzU2N15BMl5BanBnXkFtZTgwMjEyNjQxMTE@._V1_UX182_CR0,0,182,268_AL_.jpg
Wyatt Earp (1994)||http://ia.media-imdb.com/images/M/MV5BMTIxOTAzNDkyNF5BMl5BanBnXkFtZTcwMzA3NDE2MQ@@._V1_UY268_CR3,0,182,268_AL_.jpg
